CONSTRAINT_NAME	TABLE_NAME	COLUMN_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
analysis_jobs_ibfk_2	analysis_jobs	template_id	templates	id
analysis_jobs_ibfk_1	analysis_jobs	transcript_id	transcripts	id
analysis_jobs_ibfk_5	analysis_jobs	applied_by	users	id
analysis_jobs_ibfk_4	analysis_jobs	job_id	audio_jobs	id
analysis_jobs_ibfk_3	analysis_jobs	teacher_id	users	id
analysis_results_ibfk_1	analysis_results	transcript_id	transcripts	id
analysis_results_ibfk_2	analysis_results	job_id	audio_jobs	id
analysis_results_ibfk_4	analysis_results	school_id	schools	id
fk_analysis_results_teacher_id	analysis_results	teacher_id	users	id
api_keys_ibfk_1	api_keys	school_id	schools	id
audio_jobs_ibfk_2	audio_jobs	school_id	schools	id
fk_audio_jobs_school_id	audio_jobs	school_id	schools	id
fk_audio_jobs_teacher_id	audio_jobs	teacher_id	users	id
password_reset_tokens_ibfk_1	password_reset_tokens	user_id	users	id
prompt_history_ibfk_1	prompt_history	prompt_id	prompts	id
prompt_test_results_ibfk_1	prompt_test_results	prompt_id	prompts	id
school_subjects_ibfk_1	school_subjects	school_id	schools	id
school_subjects_ibfk_2	school_subjects	created_by	users	id
system_subjects_ibfk_1	system_subjects	created_by	users	id
template_categories_ibfk_2	template_categories	created_by	users	id
template_categories_ibfk_1	template_categories	school_id	schools	id
template_criteria_ibfk_1	template_criteria	template_id	templates	id
template_criteria_ibfk_2	template_criteria	criteria_id	analysis_criteria	id
template_usage_ibfk_1	template_usage	template_id	templates	id
template_usage_ibfk_2	template_usage	school_id	schools	id
template_usage_ibfk_3	template_usage	applied_by	users	id
templates_ibfk_3	templates	category_id	template_categories	id
templates_ibfk_4	templates	category_id	template_categories	id
templates_ibfk_2	templates	created_by	users	id
templates_ibfk_1	templates	school_id	schools	id
fk_transcripts_job_id	transcripts	job_id	audio_jobs	id
fk_transcripts_school_id	transcripts	school_id	schools	id
fk_transcripts_teacher_id	transcripts	teacher_id	users	id
transcripts_ibfk_1	transcripts	job_id	audio_jobs	id
transcripts_ibfk_3	transcripts	school_id	schools	id
fk_users_school_id	users	school_id	schools	id
word_timestamps_ibfk_1	word_timestamps	job_id	audio_jobs	id
