TABLE_NAME	INDEX_NAME	columns	INDEX_TYPE	NON_UNIQUE
analysis_jobs	idx_analysis_jobs_progress	status,progress_percent,updated_at	BTREE	1
analysis_jobs	idx_analysis_jobs_queue	status,queued_at	BTREE	1
analysis_jobs	idx_applied_by	applied_by	BTREE	1
analysis_jobs	idx_created_at	created_at	BTREE	1
analysis_jobs	idx_school_id	school_id	BTREE	1
analysis_jobs	idx_status	status	BTREE	1
analysis_jobs	idx_status_created	status,created_at	BTREE	1
analysis_jobs	idx_teacher_id	teacher_id	BTREE	1
analysis_jobs	idx_template_id	template_id	BTREE	1
analysis_jobs	idx_transcript_id	transcript_id	BTREE	1
analysis_jobs	job_id	job_id	BTREE	1
analysis_jobs	PRIMARY	id	BTREE	0
analysis_results	idx_applied_by	applied_by	BTREE	1
analysis_results	idx_overall_score	overall_score	BTREE	1
analysis_results	idx_teacher_id	teacher_id	BTREE	1
analysis_results	idx_template_id	template_id	BTREE	1
analysis_results	idx_transcript_id	transcript_id	BTREE	1
analysis_results	job_id	job_id	BTREE	1
analysis_results	PRIMARY	id	BTREE	0
analysis_results	school_id	school_id	BTREE	1
api_keys	idx_is_active	is_active	BTREE	1
api_keys	idx_key_prefix	key_prefix	BTREE	1
api_keys	key_hash	key_hash	BTREE	0
api_keys	PRIMARY	id	BTREE	0
api_keys	school_id	school_id	BTREE	1
audio_jobs	idx_analysis_status	analysis_status	BTREE	1
audio_jobs	idx_created_at	created_at	BTREE	1
audio_jobs	idx_school_id	school_id	BTREE	1
audio_jobs	idx_status	status	BTREE	1
audio_jobs	idx_teacher_id	teacher_id	BTREE	1
audio_jobs	idx_template_id	template_id	BTREE	1
audio_jobs	PRIMARY	id	BTREE	0
password_reset_tokens	idx_expires	expires_at	BTREE	1
password_reset_tokens	idx_token	token	BTREE	1
password_reset_tokens	PRIMARY	id	BTREE	0
password_reset_tokens	token	token	BTREE	0
password_reset_tokens	user_id	user_id	BTREE	1
prompt_history	idx_changed_at	changed_at	BTREE	1
prompt_history	idx_prompt_id	prompt_id	BTREE	1
prompt_history	PRIMARY	id	BTREE	0
prompt_test_results	PRIMARY	id	BTREE	0
prompt_test_results	prompt_id	prompt_id	BTREE	1
prompts	idx_provider_active	provider,is_active	BTREE	1
prompts	idx_provider_name_version	provider,name,version	BTREE	1
prompts	PRIMARY	id	BTREE	0
prompts	unique_provider_name_version	provider,name,version	BTREE	0
school_subjects	created_by	created_by	BTREE	1
school_subjects	idx_active	is_active	BTREE	1
school_subjects	idx_school_id	school_id	BTREE	1
school_subjects	idx_school_subjects_category	category	BTREE	1
school_subjects	PRIMARY	id	BTREE	0
school_subjects	unique_school_subject	school_id,subject_name	BTREE	0
schools	idx_domain	domain	BTREE	1
schools	idx_subscription_status	subscription_status	BTREE	1
schools	PRIMARY	id	BTREE	0
system_settings	PRIMARY	key	BTREE	0
system_subjects	created_by	created_by	BTREE	1
system_subjects	idx_active	is_active	BTREE	1
system_subjects	idx_category	category	BTREE	1
system_subjects	PRIMARY	id	BTREE	0
system_subjects	subject_name	subject_name	BTREE	0
template_categories	created_by	created_by	BTREE	1
template_categories	idx_school_template_active	school_id,is_active	BTREE	1
template_categories	idx_template_category_name	category_name	BTREE	1
template_categories	PRIMARY	id	BTREE	0
template_categories	unique_template_category_per_school	school_id,category_name	BTREE	0
template_criteria	criteria_id	criteria_id	BTREE	1
template_criteria	idx_is_active	is_active	BTREE	1
template_criteria	idx_order	order_index	BTREE	1
template_criteria	idx_template_id	template_id	BTREE	1
template_criteria	PRIMARY	id	BTREE	0
template_usage	applied_by	applied_by	BTREE	1
template_usage	idx_created_at	created_at	BTREE	1
template_usage	idx_school_id	school_id	BTREE	1
template_usage	idx_template_id	template_id	BTREE	1
template_usage	PRIMARY	id	BTREE	0
templates	created_by	created_by	BTREE	1
templates	fk_template_category	category_id	BTREE	1
templates	fk_templates_openrouter_prompt	openrouter_prompt_id	BTREE	1
templates	fk_templates_vertex_prompt	vertex_prompt_id	BTREE	1
templates	idx_category	category	BTREE	1
templates	idx_created_at	created_at	BTREE	1
templates	idx_is_active	is_active	BTREE	1
templates	idx_is_global	is_global	BTREE	1
templates	idx_school_id	school_id	BTREE	1
templates	PRIMARY	id	BTREE	0
transcripts	idx_created_at	created_at	BTREE	1
transcripts	idx_external_id	external_id	BTREE	1
transcripts	idx_job_id	job_id	BTREE	1
transcripts	idx_teacher_id	teacher_id	BTREE	1
transcripts	PRIMARY	id	BTREE	0
transcripts	school_id	school_id	BTREE	1
users	email	email	BTREE	0
users	idx_cognito_username	cognito_username	BTREE	1
users	idx_email	email	BTREE	1
users	idx_is_active	is_active	BTREE	1
users	idx_role	role	BTREE	1
users	idx_school_id	school_id	BTREE	1
users	PRIMARY	id	BTREE	0
word_timestamps	idx_job_id	job_id	BTREE	1
word_timestamps	idx_timestamps	start_time,end_time	BTREE	1
word_timestamps	PRIMARY	id	BTREE	0
